ParticleType,Energy
pi-,599.388
pi-,599.388
2pi-,597.814
2pi-,597.814
pi+,401.796
pi+,401.796
2pi+,400.142
2pi+,400.142
pi-,363.84
pi-,363.84
2pi-,361.961
2pi-,361.961
pi-,1078.25
pi-,1078.25
2pi-,1077.1
2pi-,1077.1
pi-,218.445
pi-,218.445
pi-,218.445
2pi-,216.251
2pi-,216.251
2pi-,216.251
pi+,331.443
pi+,331.443
2pi+,330.488
2pi+,330.488
pi+,285.211
pi+,285.211
2pi+,284.035
2pi+,284.035
pi+,413.144
pi+,413.144
2pi+,410.176
2pi+,410.176
pi+,528.403
pi+,528.403
2pi+,527.447
2pi+,527.447
pi+,732.819
pi+,732.819
2pi+,731.903
2pi+,731.903
pi-,330.385
pi-,330.385
2pi-,329.116
2pi-,329.116
pi+,1916.69
pi+,1916.69
2pi+,1915.83
2pi+,1915.83
pi+,648.092
pi+,648.092
2pi+,647.051
2pi+,647.051
pi-,410.677
pi-,410.677
2pi-,409.632
2pi-,409.632
pi+,171.71
pi+,171.71
pi+,171.71
2pi+,170.528
2pi+,170.528
2pi+,170.528
pi-,228.201
pi-,228.201
pi-,228.201
2pi-,227.189
2pi-,227.189
2pi-,227.189
pi-,476.685
pi-,476.685
2pi-,475.06
2pi-,475.06
pi-,2099.56
pi-,2099.56
2pi-,2098.62
2pi-,2098.62
pi+,634.05
pi+,634.05
2mu+,576.574
2mu+,576.574
pi+,270.944
pi+,270.944
2pi+,269.551
2pi+,269.551
pi+,169.859
pi+,169.859
pi+,169.859
2pi+,168.002
2pi+,168.002
2pi+,168.002
pi-,956.864
pi-,956.864
2pi-,955.883
2pi-,955.883
pi-,146.831
pi-,146.831
pi-,146.831
2mu-,119.789
2mu-,119.789
2mu-,119.789
pi+,355.243
pi+,355.243
pi+,355.243
2pi+,354.312
2pi+,354.312
2pi+,354.312
pi-,138.1
pi-,138.1
pi-,138.1
2mu-,84.7904
2mu-,84.7904
2mu-,84.7904
pi+,85.1963
pi+,85.1963
pi+,85.1963
2mu+,70.4571
2mu+,70.4571
2mu+,70.4571
pi-,322.815
pi-,322.815
2pi-,320.746
2pi-,320.746
pi+,379.052
pi+,379.052
2mu+,264.962
2mu+,264.962
2mu+,264.962
mu+,4.13119
mu+,4.13119
mu+,4.13119
pi+,164.968
pi+,164.968
pi+,164.968
2pi+,161.728
2pi+,161.728
2pi+,161.728
pi-,188.495
pi-,188.495
2mu-,120.4
2mu-,120.4
